id,name,full_name,active
industry_01,ALLUMINIUM,ALLUMINIUM,1
industry_02,AMENAGEMENT EXTERIEUR ,AMENAGEMENT EXTERIEUR ,1
industry_03,ASCENSEURS- MAINTENANCE ,ASCENSEURS- MAINTENANCE ,1
industry_04,ASSAINISSEMENT ,ASSAINISSEMENT ,1
industry_05,ASSURANCE,ASSURANCE,1
industry_06,AUTOMOBILE,AUTOMOBILE,1
industry_07,DECOUPAGE BETON,DECOUPAGE BETON,1
industry_08,DIVERS,DIVERS,1
industry_09,ELECTRICITE ,ELECTRICITE ,1
industry_10,ELECTROMENAGERS,ELECTROMENAGERS,1
industry_11,Entrées hors achats,Entrées hors achats,1
industry_12,EQUIPEMENT MATERIELS DE CONSTRUCTIONS,EQUIPEMENT MATERIELS DE CONSTRUCTIONS,1
industry_13,ETANCHEITE,ETANCHEITE,1
industry_14,FERRONNERIE,FERRONNERIE,1
industry_15,FOURNITURE DE BUREAU,FOURNITURE DE BUREAU,1
industry_16,GLASS & ACCESSOIRES,GLASS & ACCESSOIRES,1
industry_17,HABILLEMENT SECURTIE ,HABILLEMENT SECURTIE ,1
industry_18,HYDRAULIQUE ,HYDRAULIQUE ,1
industry_19,IMPRESSION & PUBLICITE ,IMPRESSION & PUBLICITE ,1
industry_20,INFORMATIQUE,INFORMATIQUE,1
industry_21,LITERIE ,LITERIE ,1
industry_22,LOCATION  D'ENGIN,LOCATION  D'ENGIN,1
industry_23,LOCATION ENGINS ,LOCATION ENGINS ,1
industry_24,MARBRERIE INDUSTRIEL ,MARBRERIE INDUSTRIEL ,1
industry_25,MAROQUINNERIE ,MAROQUINNERIE ,1
industry_26,MATERIAUX DE CONSTRUCTION,MATERIAUX DE CONSTRUCTION,1
industry_27,MOBILIER DE BUREAU ,MOBILIER DE BUREAU ,1
industry_28,PIECES DETACHEES ,PIECES DETACHEES ,1
industry_29,PLOMBERIE,PLOMBERIE,1
industry_30,PNEUMATIQUE,PNEUMATIQUE,1
industry_31,PRESTATION DE SERCVICE,PRESTATION DE SERCVICE,1
industry_32,PRESTATIONS SERVICE,PRESTATIONS SERVICE,1
industry_33,PRODUIT D'EMBALLAGE,PRODUIT D'EMBALLAGE,1
industry_34,PRODUITS D'ENTRETIENS,PRODUITS D'ENTRETIENS,1
industry_35,QUINQUAILLERIE ,QUINQUAILLERIE ,1
industry_36,REVETEMENT MUR,REVETEMENT MUR,1
industry_37,REVETEMNT SOL ,REVETEMNT SOL ,1
industry_38,SANITAIRE,SANITAIRE,1
industry_39,SERVICES,SERVICES,1
industry_40,TRANSFORMATION DU GRANIT ,TRANSFORMATION DU GRANIT ,1
